public	ADJ	99
conseil	NOM	98
pandémie	NOM	98
vie	NOM	98
nord	ADJ,NOM	98
deuxième	ADJ,NOM	97
entreprendre	VER,NOM	96
agir	VER	96
social	ADJ	96
celui	PRO:dem	95
mettre	VER,ADJ,NOM,VER	95
décembre	NOM	95
vers	NOM,PRE	94
dès	PRE	94
euro	NOM	94
ceux	PRO:dem	94
malgré	PRE	93
présenter	VER	92
aucun	ADJ:ind,PRO:ind	92
possible	ADJ,NOM	92
celle	NOM,PRO:dem	91
militaire	ADJ,NOM	91
populaire	ADJ	91
directeur	ADJ,NOM	90
dénoncer	VER	90
six	ADJ:num	90
pouvoir	VER,ADV,CON	89
parmi	PRE	89
majorité	NOM	89
information	NOM	89
ni	CON	88
population	NOM	88
membre	NOM	88
histoire	NOM	87
responsable	ADJ,NOM	87
suite	NOM	87
forme	NOM,VER	87
tour	NOM	86
retrouver	VER	86
victime	NOM	86
intérieur	ADJ,NOM	86
chiffre	NOM,VER	86
effet	NOM	85
ça	NOM,PRO:dem	85
républicain	ADJ,NOM	85
africain	ADJ,NOM	85
vaccination	NOM	85
rendre	VER	85
tribunal	NOM	84
principal	ADJ,NOM	84
primaire	ADJ,NOM	84
obtenir	VER	84
australien	ADJ,NOM	84
personne	ADJ,NOM,PRO:ind	83
nom	NOM	83
précédent	ADJ,NOM	83
condition	NOM	83
rassemblement	NOM	83
afin	ADV	83
autant	ADV	82
titre	NOM,VER	82
association	NOM	82
demande	NOM,VER	81
cadre	NOM,VER	81
appel	NOM	81
sud	ADJ,NOM	81
enquête	NOM,VER	81
souligner	VER	80
société	NOM	80
tête	NOM	80
région	NOM	80
souhaiter	VER	79
droit	ADJ,ADV,NOM	79
hausse	NOM,VER	79
connaître	VER,ADJ	79
prendre	VER,ADJ,NOM,VER	79
résultat	NOM	79
liberté	NOM	79
manifestation	NOM	79
porte-parole	NOM	79
opposition	NOM	79
état	NOM	79
victoire	NOM	79
mener	VER	78
créer	VER	78
suivre	VER,AUX,VER	78
janvier	NOM	78
lier	VER,ADJ	78
ligne	NOM	78
poindre	VER,ADV,NOM	78
système	NOM	78
capital	ADJ,NOM	78
lancer	VER	77
arriver	VER,ADJ,NOM	77
source	NOM	77
hôpital	NOM	77
nation	NOM	77
but	NOM,VER	77
